时间,气温,相对湿度,体感温度,降水量,风速,气压,PM2.5,PM10
2026-07-03 11:00:00,31.0,70,35.8,0.7,19.3,1008.7,10.5,13.9
2026-07-03 12:00:00,30.7,66,34.2,0.4,21.6,1009.0,10.6,14.1
2026-07-03 13:00:00,30.3,71,35.0,1.0,20.7,1008.4,12.0,16.0
2026-07-03 14:00:00,27.5,91,34.5,1.1,13.5,1008.9,12.7,17.0
2026-07-03 15:00:00,25.7,93,29.1,3.9,20.2,1008.8,12.5,16.8
2026-07-03 16:00:00,25.8,95,29.7,2.2,18.3,1008.1,12.3,16.6
2026-07-03 17:00:00,26.4,93,31.4,0.9,12.8,1007.9,12.6,16.8
2026-07-03 18:00:00,26.7,88,31.3,1.0,12.6,1007.9,10.7,13.4
2026-07-03 19:00:00,25.6,96,29.9,0.4,15.9,1008.2,12.0,14.4
2026-07-03 20:00:00,25.6,95,30.2,0.1,13.0,1008.4,16.6,19.3
2026-07-03 21:00:00,25.2,97,29.9,0.3,12.6,1008.8,15.3,17.7
2026-07-03 22:00:00,25.0,97,29.7,2.8,11.1,1009.7,12.3,14.5
2026-07-03 23:00:00,25.2,97,29.6,0.4,14.8,1009.6,11.2,13.4
